csword,closest_zh_neighbor,distance,nth_closest,cos_sim
lease,租約,0.9567131913448591,36,0.54232156
house,屋,1.0476608253808217,58,0.4512097
bathroom,浴室,0.9364715751343744,84,0.56151164
deck,甲板,1.0609746459749576,346,0.4371464
full,完整,1.1433507947788695,23,0.3463583
pet,寵物,0.9932167924298408,19,0.50675285
view,觀點,1.0417984376631306,19,0.45731974
couple,兩人,1.0612407521492675,99,0.43692008
doorman,老闆,1.1150523401625936,1131,0.3783079
neighborhood,社區,1.0801096168929365,234,0.41667187
budget,預算,0.9358679018069751,22,0.56209284
email,私信,1.0236379313532733,398,0.47607878
indoor,室內,0.9998967233075324,13,0.50009537
utility,需求,1.127045270997237,159,0.36489865
offer,提供,1.0600364244561136,101,0.43814114
party,黨,0.9892226440707815,63,0.5106923
bus,巴士,1.03354582732494,145,0.4658803
block,禁,1.0650753988218695,171,0.43284914
bedroom,臥室,0.9349812294553445,44,0.5629295
manager,經理,0.9854162674476992,16,0.5144361
basement,二樓,1.0289372249247184,152,0.47064814
room,房間,0.8638598209075533,25,0.62688905
apartment,公寓,0.9510278201873663,41,0.547798
playground,遊樂場,0.9942267853951801,54,0.5057411
fireplace,壁爐,1.063111761049967,877,0.4348921
check,檢查,0.9827852888388633,36,0.5170565
bar,酒吧,1.1156493838295616,54,0.37766543
scam,詐騙,0.9604171358241218,33,0.5388028
ps,版,1.1233579115130192,160,0.36905968
closet,衣櫃,0.9821371082988022,52,0.5177165
apt,難,1.169096426906058,1399,0.3166149
gas,氣體,1.0250690600594954,247,0.47460347
lobby,樓,1.088664044399351,229,0.40744382
garage,後巷,1.0977013471227206,665,0.39752755
houses,幢,1.052391656149209,271,0.44622216
bedrooms,臥室,0.994762117444804,254,0.5052339
bath,浴,1.0255173658522052,21,0.4741526
rooms,房間,0.9450864748350744,127,0.5534046
sewage,污水,0.9498702786968253,91,0.5488643
bonus,額外,1.1197779657179086,267,0.37304235
location,地點,0.987046728148813,8,0.51287913
gym,健身,1.0195877196380192,48,0.48020574
apartments,公寓,1.0346236337735575,242,0.46477464
park,公園,0.971535405542205,20,0.52802944
management,管理,1.051845719738854,155,0.4468349
nice,漂亮,1.0587268104753786,310,0.43949762
money,金錢,0.9228345560285189,39,0.5742083
furniture,家具,0.947899380535944,106,0.5507538
topic,頭,1.0328625537908669,500,0.4666038
everything,幹麼,1.0415940217699484,575,0.4575436
acc,籃,1.140377073630884,441,0.3497269
utilities,公用,1.0934635380408793,576,0.40219775
balcony,陽台,0.9707802988824495,186,0.52878946
plus,另加,0.9869398335999112,4,0.5129742
centre,中心,0.9924395712280141,6,0.5075257
share,分享,1.0132569869784642,6,0.4866308
window,窗,0.9527304321647565,43,0.54616106
set,設,1.0660213267108123,7,0.43182898
safety,安全,0.9886957210818512,13,0.51123536
month,十天,0.9280074227813873,8,0.56940734
bill,法案,1.0681855623176957,88,0.429475
neighbourhood,社區,1.089509283678949,107,0.40646046
pattern,樣式,1.0766050970022496,186,0.4204611
diner,餐廳,1.0422599228226472,163,0.4568626
