rich,富人,1.155547
lease,租约,1.1040189
house,房子,1.0641749
bathroom,浴室,0.9364716
house,房子,1.0641749
deck,阳台,1.3079635
window,窗口,1.0429502
flexible,灵活,1.1158595
email,发送,1.1638098
full,设施,1.4210359
email,发送,1.1638098
driveway,私人,1.2675548
half,半,1.0494244
free,免费,1.1246243
share,共用,1.0720974
nice,好,1.0784843
living,客厅,1.3569654
all,全部,0.9773542
available,有,1.1735356
pet,宠物,1.089637
email,发,1.2129693
return,退还,1.2019509
view,景觀,1.1742415
bathroom,浴室,0.9364716
couple,情侣,1.2474089
off,路,1.2059176
no,禁止,1.2337958
house,房子,1.0641749
doorman,門衛,1.162084
lease,租约,1.1040189
nice,好好,1.1349939
doorman,門衛,1.162084
an,一,1.2192432
share,共用,1.0720974
n,e,i,g,h,b,o,r,h,o,o,d
half,装修,1.424418
fully,完整,1.1175344
house,住宅,1.1249727
house,套,1.1901639
budget,资金,1.234143
w,a,l,k,-,i,n
email,邮箱,1.1342877
leasing,租约,1.204198
nice,好,1.0784843
email,发,1.2129693
queen,标准,1.3959314
indoor,室内,1.1517259
young,年轻,1.1139424
share,共用,1.0720974
living,客厅,1.3569654
utility,设施,1.2503614
house,整套,1.284418
house,房屋,1.1224449
house,房屋,1.1224449
deck,露台,1.1754833
offer,录取,1.3682067
available,可,1.1310441
cover,包含,1.1453985
so,很,0.9950814
party,派对,1.2807885
text,来,1.2173277
utility,公用,1.175601
b,u,s
main,总,1.2314827
lease,的,1.3027203
twin,小,1.161383
call,打,1.1635096
young,年轻,1.1139424
share,共用,1.0720974
vending,自动,1.3889085
house,房子,1.0641749
queen,标准,1.3959314
b,l,o,c,k
about,关于,1.1735134
bedroom,卧室,1.0997171
house,房子,1.0641749
remodel,改造,1.100857
free,免费,1.1246243
manager,经理,1.1479505
basement,地下室,1.0489156
building,物业,1.2831137
room,房间,1.0387402
house,房子,1.0641749
queen,标准,1.3959314
double,双层,1.2743062
email,邮箱,1.1342877
available,空闲,1.2413257
house,房子,1.0641749
fully,家具,1.3843439
renew,更新,1.2618532
utilities,不,1.2677554
party,派对,1.2807885
apartment,公寓,0.9510278
update,更新,1.0018517
visit,玩,1.1876156
apartment,公寓,0.9510278
m,o,v,e
so,很,0.9950814
apartment,公寓,0.9510278
yearly,一,1.2706323
playground,休闲,1.2709826
walk,步入,1.2470539
fireplace,火炉,1.2574754
prefer,更,1.211827
house,整,1.2162542
king,特大,1.3609767
apartment,公寓,0.9510278
house,房子,1.0641749
utility,各,1.2307965
house,房子,1.0641749
house,整个,1.326385
house,房子,1.0641749
email,发,1.2129693
check,支票,1.2106572
f,l,o,o,r
doorman,門衛,1.162084
house,房子,1.0641749
house,房子,1.0641749
party,派对,1.2807885
share,共用,1.0720974
bar,酒吧,1.1156493
couple,情侣,1.2474089
lease,租约,1.1040189
utility,各,1.2307965
the,越,1.1000148
apartment,公寓,0.9510278
union,联合,1.216718
email,邮件,1.1221776
pet,允许,1.343969
bathroom,浴室,0.9364716
happy,气氛,1.34878
house,房子,1.0641749
house,位于,1.3845739
house,房子,1.0641749
update,的,1.2159208
house,整个,1.326385
scam,诈骗,1.1370251
ps,备注,1.3411359
house,房子,1.0641749
available,可,1.1310441
house,房子,1.0641749
house,整套,1.284418
$,3,0,0
doorman,門衛,1.162084
indoor,室内,1.1517259
closet,衣柜,1.1170841
bedroom,卧室,1.0997171
apt,公寓,1.3667322
summer,暑期,1.096593
email,发,1.2129693
town,市内,1.1445134
f,l,o,o,r
email,发,1.2129693
see,看见,1.1753337
gas,电气,1.3788028
lobby,大厅,1.1892827
lease,租约,1.1040189
utility,服务,1.2500743
house,房子,1.0641749
lobby,大堂,1.1291589
prefer,优先,1.2780615
email,发,1.2129693
f,l,o,o,r
doorman,門衛,1.162084
lease,租约,1.1040189
apartment,公寓,0.9510278
garage,车库,1.1546022
share,共用,1.0720974
offer,找到,1.2206626
house,整个,1.326385
or,或者,0.9816836
house,房子,1.0641749
b,l,o,c,k
b,l,o,c,k
available,目前,1.2204183
email,邮箱,1.1342877
the,价格,1.3714638
queen,标准,1.3959314
leasing,租赁,1.1501749
building,整,1.2210655
doorman,門衛,1.162084
deep,完全,1.2448994
share,一起,1.2028718
house,房子,1.0641749
w,a,l,k,-,i,n
available,可,1.1310441
free,免费,1.1246243
houses,房子,1.1200016
utility,各,1.2307965
utility,各,1.2307965
m,o,v,e
garage,车库,1.1546022
security,訂金,1.3566184
apartment,公寓,0.9510278
house,房子,1.0641749
house,房子,1.0641749
nice,人,1.2487124
king,特大,1.3609767
hard,非,1.1588833
nice,好,1.0784843
dining,餐厅,1.1175175
bedroom,卧室,1.0997171
outdoor,户外,1.1122664
bedrooms,卧室,1.1074584
bedroom,每個,1.2989547
w,a,l,k,-,i,n
month,每,1.1292567
apt,公寓,1.3667322
quarter,不用,1.333285
queen,标准,1.3959314
share,共用,1.0720974
queen,标准,1.3959314
nice,好,1.0784843
check,审查,1.3053015
house,房子,1.0641749
bath,浴室,1.0988666
update,更新,1.0018517
house,房子,1.0641749
